freq_Hz,|H1|,ang_H1
1,0.013440705962856903,-10.198175102031238
1.0596372886056478,0.013338634831874037,-10.611264857930692
1.1228311834035287,0.013229253167269849,-11.021071359737148
1.1897937907435858,0.013112547484481525,-11.424381486711592
1.2607498664233687,0.012988603404527305,-11.81770188862361
1.3359375700667908,0.012857616212964633,-12.19729820299531
1.4156092644919915,0.01271989895091588,-12.559248663555977
1.5000323627513292,0.012575887232269404,-12.89951212184947
1.5894902256865417,0.012426140071301994,-13.21400959041083
1.6842831130116662,0.01227133617520787,-13.49871738746266
1.7847291911159615,0.012112265401866771,-13.74976889981013
1.8911656009694682,0.01194981538894139,-13.963560984151554
2.0039495897155577,0.011784953699715764,-14.136860210204723
2.1234597097485937,0.011618706169698425,-14.266903621681273
2.250097089301335,0.011452132438341554,-14.351488543755476
2.384286778806727,0.011286299877139553,-14.389046254056742
2.5264791775530537,0.011122257251885821,-14.378695067678525
2.6771515454209447,0.010961009468588636,-14.320269522598858
2.836809604776269,0.010803494649863396,-14.214323797906964
3.0059892378955846,0.010650564586240637,-14.06210912131567
3.1852582856214346,0.010502969330885015,-13.865526569356069
3.3752184532845706,0.010361346389648746,-13.627058175116918
3.57650733029021,0.010226214635682542,-13.349680493815034
3.789800530146942,0.010097972780208879,-13.03676563077465
4.015813958121152,0.009976901982808107,-12.691975152035758
4.255306214128211,0.009863172001015361,-12.319152269393363
4.5090811389255805,0.009756850166210872,-11.92221726253115
4.777990512153968,0.009657912428453107,-11.505070352978896
5.062936911282341,0.009566255728437155,-11.07150528369713
5.364876741052671,0.009481711017525266,-10.625135797524502
5.684823443592558,0.009404056342459315,-10.169336153327286
6.023850899970239,0.009333029525869231,-9.707195857176293
6.383097034609155,0.009268340094707304,-9.24148797804005
6.763767634659994,0.009209680226546928,-8.774649796287466
7.167140397149751,0.009156734591533934,-8.308774106084462
7.594569217491768,0.009109189061840606,-7.845609246281852
8.04748873375089,0.009066738339527113,-7.3865658410783865
8.527419141916292,0.00902909261871777,-6.932728256100685
9.035971298344078,0.00899598345164927,-6.484868879512976
9.574852126495772,0.008967169034565584,-6.043463484682923
10.14587034612,0.008942439174037484,-5.608706087868296
10.75094254410704,0.008921620243952415,-5.180521853104884
11.392099607392687,0.008904580507060321,-4.75857669317423
12.07149353950305,0.008891236264669427,-4.342282249907289
12.791404683619605,0.00888155943124173,-3.930794891094729
13.554249376408261,0.00887558733353784,-3.523007218325268
14.362588058302041,0.008873435848168089,-3.1175303257938083
15.219133867459028,0.008875317484996927,-2.7126646774022127
16.126761746240668,0.008881566811842056,-2.306356993735558
17.088518090775743,0.008892676898426618,-1.8961400395895573
18.107630975998166,0.008909352593239925,-1.4790519166310945
19.187520990478333,0.008932590099151722,-1.0515320440546037
20.33181271741441,0.00896379875157622,-0.609294134267987
21.544346900318832,0.009004992647892198,-0.14718646032342805
22.829193334233338,0.009059102046348995,0.34092217922216506
24.19066452574114,0.009130498540104197,0.8621159547253872
